aksara_lontara,aksara_latin
ᨆᨄᨀᨒᨛᨅᨗᨕᨙ,mappakalebbiè
ᨈᨚᨆᨕᨙᨒᨚ,tomaèlo
ᨅᨘᨉᨗᨐᨓ,budayawang
ᨄᨑᨛᨒᨘᨕᨗ,parellui
ᨑᨗᨔᨛ,risseng
ᨊᨑᨗᨕᨒ,nariala
ᨄᨈᨗᨑᨚᨕ,patiroang
ᨆᨒᨛᨅᨗ,malebbi
ᨔᨗᨄᨔᨗᨄ,sipa'-sipa'
ᨊᨄᨘᨊᨕᨗᨕᨙ,nappunnaiè
ᨕᨔᨗᨒᨙᨕᨚᨒᨙᨕᨚᨑᨛᨈ,assilèo-lèoretta
ᨕᨛᨔᨚᨕᨛᨔᨚ,esso-esso
ᨄᨉᨊᨗ,padani
ᨔᨘᨒᨛᨈ,suletan
ᨕᨗᨅᨛᨑᨖᨗ,iberahim
ᨑᨗᨄᨍᨊᨛᨂᨗ,ripajanengi
ᨄᨍᨊᨛᨂᨗ,pajanengi
ᨆᨈᨔᨊ,matasa'na
ᨅᨛᨑᨘ,berru
ᨑᨗᨍᨍᨗᨕᨂᨗ,rijajiangi
1885,1885
ᨕᨗ,i
ᨆᨀᨘᨒᨕᨘ,makkulau
ᨒᨙᨅᨇᨑ,lèmbamparang
ᨖᨘᨔᨕᨗ,husain
ᨈᨘᨆᨙᨊᨂ,tumènanga
ᨑᨗᨅᨘᨉᨘᨊ,ri bundu'na
ᨆᨔᨛᨄᨘᨒᨚᨕᨙᨕᨛᨄ,maseppuloè eppa'
ᨒᨈᨚᨊ,lato'na
ᨕᨑᨘᨊ,arungna
ᨆᨔᨛᨄᨘᨒᨚᨕᨙᨈᨛᨒᨘ,maseppuloè tellu
ᨆᨒᨗᨃᨕ,malingkaang
ᨎᨚᨋᨗ,nyonri
ᨊᨙᨊᨙᨊ,nènè'na
ᨑᨗᨈᨛᨒᨕᨗ,ritella'i
ᨕᨕᨗᨔ,aisah
ᨅᨕᨘ,bau'
ᨈᨛᨋᨗᨄᨉ,tenripada
ᨆᨔᨗᨒᨙᨔᨘᨑᨛᨂᨗ,massilessurengngi
ᨕᨑᨘᨇᨚᨊᨙ,arumponè
ᨔᨗᨃᨛᨑᨘ,singkeru'
ᨑᨘᨀ,rukka
ᨕᨗᨉᨛᨑᨗᨔᨛ,iderise
ᨕᨘᨆᨘᨑᨘ,umuru'
ᨊᨑᨗᨕᨀ,riakkani
ᨔᨘᨄ,suppa
ᨕᨀᨑᨘᨂᨛ,akkarungeng
ᨕᨍᨈᨄᨑᨛ,ajattappareng
ᨕᨒᨗᨈ,alitta
ᨔᨓᨗᨈᨚ,sawitto
ᨔᨗᨉᨙᨋᨙ,sidènrèng
ᨑᨄ,rappang
ᨊᨑᨗᨕᨀᨈᨚᨕᨗ,nariakka'toi
ᨑᨗᨕᨀᨑᨘᨂᨛᨊ,riakkarungenna
ᨒᨙᨈᨊ,lètanan
1928,1928
ᨕᨉᨛᨄᨗᨈᨘᨕᨙ,ade' pituè
ᨕᨈᨚᨑᨛ,atoreng
ᨕᨉᨛ,ade'
ᨈᨊᨕᨙ,tanaè
ᨆᨈᨔ,matasa
ᨓᨗᨍ,wija
ᨑᨗᨆᨈᨍ,ri matajang
ᨑᨗᨆᨀᨛᨉᨊ,rimakkeddana
ᨕᨀᨑᨘᨂᨛᨂᨙ,akkarungengè
ᨈᨛᨊᨈᨚᨒ,tenna tola
ᨑᨍᨙ,rajèng
ᨈᨛᨊᨀᨑᨘᨂᨗ,tennakkarungi
ᨌᨙᨑ,cèra'
ᨈᨛᨋᨗᨕᨀᨇᨕᨙᨑᨛ,tenriakkampaèreng
ᨑᨗᨔᨒᨗᨓᨛ,risaliweng
ᨆᨈᨚᨒ,mattola
ᨔᨘᨒᨙᨕᨗ,sullèi
ᨔᨄᨚᨔᨗᨔᨛᨊ,sapposisenna
ᨕᨆᨊ,amanna
ᨆᨊᨛᨔᨊᨗ,manessani
ᨊᨑᨗᨕᨔᨒᨛᨂᨗ,nariassalengi
ᨈᨛᨋᨗᨅᨈᨅᨈᨈᨚᨕᨗ,tenribata-batatoi
ᨄᨍᨊᨛᨔ,pajanessa
ᨆᨄᨍᨘᨂᨙ,mappajungngè
ᨔᨛᨂᨛᨇᨒᨗᨊᨕᨗ,sengngengmpalinai
ᨊᨁ,naga
ᨕᨘᨒᨛ,uleng
ᨕᨅᨈᨗᨑᨛᨊ,abbatirenna
ᨑᨗᨆᨈᨗᨋᨚᨕᨙ,rimatinroè
ᨑᨚᨇᨙᨁᨉᨗ,rompègading
ᨉᨙᨆᨙᨆᨛᨈᨚᨊ,dè'mèmengtonna
ᨆᨉᨗᨕᨔᨛᨀᨗ,maddiaseki
ᨆᨄᨀᨈᨘᨊ,mappakatuna
ᨕᨒᨙ,alè
ᨕᨄᨑᨙᨈᨂᨛᨊ,apparèntangenna
ᨊᨑᨗᨓᨙᨑᨙᨊ,nariwèrènna
ᨑᨗᨅᨒᨉᨕᨙ,ribalandaè
ᨔᨗᨆ,sima'
ᨄᨄᨀᨒᨛᨅᨗ,pappakalebbi
ᨑᨗᨕᨛᨅᨘᨕᨙ,rièbbuè
ᨑᨗᨕᨘᨒᨓᨛᨂᨙ,riulawengngè
ᨊᨑᨗᨄᨘᨍᨗ,naripuji
ᨔᨒᨕᨗ,salai
ᨅᨒᨗᨓᨗ,baliwi
ᨈᨚᨂᨛᨊ,tongenna
ᨄᨚᨕᨊᨕᨗ,poana'i
ᨔᨗᨕᨁᨕᨗ,siagai
ᨊᨑᨗᨍᨍᨗᨕ,narijajiang
ᨈᨙᨁᨕᨗ,tègai
ᨆᨚᨋᨚ,monro
ᨑᨗᨒᨛᨔᨘᨑᨛ,rilessureng
ᨊᨄᨄᨚᨒᨙ,napapolè
ᨄᨙᨀᨚᨁᨕᨗ,pèkkogai
ᨑᨗᨄᨉᨊ,ripadanna
ᨕᨘᨀᨗᨕᨗ,uki'i
ᨑᨍ,raja
ᨅᨒᨗ,bali'
ᨈᨕᨘ,taung
ᨒᨕᨚ,lao
ᨒᨕᨚᨒᨕᨚ,lao-lao
ᨕᨑᨘᨕ,arua
