aksara_lontara,aksara_latin
ᨆᨂᨘᨈᨘᨂᨗ,manguntungi
ᨆᨊᨗᨄᨗ,manipi’
ᨆᨋᨙ,manrè
ᨆᨊᨘ,manu’
ᨆᨊᨘᨑᨘ,manurung
ᨆᨄᨚᨏᨚᨆᨗ,maponco’mi
ᨆᨄᨉᨕᨚᨑᨊᨙ,mappadaoranè
ᨆᨄᨖ,mappahang
ᨆᨄᨖᨂᨗ,mappahangngi
ᨆᨄᨕᨗᨔᨛᨂᨙᨂᨛ,mappaissengngènge
ᨆᨄᨀᨙ,mappakè
ᨆᨄᨀᨙᨓᨙ,mappakèwè
ᨆᨄᨔᨗᨒᨗ,mappassili
ᨆᨄᨔᨘᨀᨘ,mappasuku
ᨆᨄᨕᨘᨓ,mappauwang
ᨆᨄᨙᨍᨛᨄᨘ,mappèjeppu
ᨆᨄᨙᨔᨕᨘ,mappèssau
ᨆᨄᨘᨊᨕᨗᨕᨙ,mappunnaiè
ᨆᨑᨍ,maraja
ᨆᨑᨙᨒᨕᨘ,marèllau
ᨆᨑᨗᨕᨚᨒᨚᨕᨙ,marioloè
ᨆᨑᨗᨄᨛᨕᨗ,marippe’i
ᨆᨑᨙᨃᨒᨗᨂ,marrèngngkalinga
ᨆᨑᨘᨀᨗ,marruki'
ᨆᨔᨒ,masala
ᨆᨔᨒᨆᨘ,masalamu
ᨆᨔᨒᨊ,masalana
ᨆᨔᨑᨀ,masaraka’
ᨆᨔᨙᨇᨚ,masempo
ᨆᨔᨗᨓᨓ,masiwawang
ᨆᨔᨕᨗᨒᨙ,massailè
ᨆᨔᨙᨉᨗᨄ,masseddipa
ᨆᨔᨗᨄ,massipa
ᨆᨔᨘᨒ,massula'
ᨆᨔᨘᨔᨘ,massusung
ᨆᨈ,mata
ᨆᨈᨋᨙ,matanrè
ᨆᨈᨙᨊ,matèna
ᨆᨈᨗᨋᨚᨕᨙ,matinroe
ᨈᨆᨈᨆᨂᨛ,ttamattamangnge
ᨆᨈᨛᨒᨘ,mattellu
ᨆᨈᨛᨈᨘ,mattentu
ᨆᨈᨘ,matu’
ᨆᨕᨘ,mau’
ᨆᨕᨘᨊᨗ,mau’ni
ᨆᨕᨘᨇᨛ,maumpe’
ᨆᨙᨅᨘ,mèbbu’
ᨆᨛᨀ,mekka
ᨆᨙᨆᨛ,mèmeng
ᨆᨙᨆᨛᨊ,mèmengna
ᨆᨙᨋᨙ,mènrè’
ᨆᨙᨕᨚᨇᨒᨚ,mèompalo
ᨆᨙᨈ,mètta
ᨆᨙᨓᨕᨗ,mèwai
ᨆᨗᨊᨘᨂᨗ,minungngi
ᨆᨗᨈᨘ,mitu
ᨆᨚᨉᨒ,modala
ᨆᨚᨉᨙᨒᨙ,modèlè
ᨆᨚᨒᨗᨕᨗ,molli’i
ᨆᨚᨒᨚᨕᨗ,moloi
ᨆᨚᨋᨚᨀᨘ,monroku'
ᨇ,mpa
ᨆᨘᨖᨆ,muhamma
ᨆᨘᨀᨗᨕᨗ,muki’i
ᨆᨘᨆᨌᨐ,mumaccaya
ᨆᨘᨄᨗ,mupi
ᨆᨘᨔᨒᨆᨛ,mussalame
ᨆᨘᨈᨆᨕᨗ,muttama’i
ᨆᨘᨈᨆᨊᨊ,muttamanana
ᨆᨘᨈᨆᨊ,muttamana
ᨆᨘᨈᨘᨉ,mutudang
ᨊ,na
ᨊᨅᨌ,nabaca
ᨊᨅᨒᨘ,nabalu’
ᨊᨅᨗ,nabi
ᨊᨅᨗᨈ,nabitta’
ᨊᨌᨒᨗᨂᨛᨀᨗ,nacalingeki
ᨊᨌᨘᨕᨙᨑᨗ,naccuèri
ᨊᨕᨙᨀᨗᨕ,naèkkia
ᨊᨕᨙᨒᨕᨘᨕᨗ,naèllaui
ᨊᨁᨗᨒᨗᨆᨘᨕ,nagilingmua
ᨊᨕᨗᨕᨀᨗᨕ,naiakkia
ᨊᨕᨗᨊᨄ,nainappa
ᨊᨕᨗᨔᨛᨂᨗ,naissengngi
ᨊᨕᨗᨐ,naiyya
ᨊᨕᨗᨀᨗᨕ,naikkia
ᨊᨍᨛᨄᨘᨕᨗᨓᨗ,najeppuiwi
ᨊᨀᨙᨁᨘᨊ,nakkègunang
ᨊᨀᨚ,nakko
ᨊᨒ,nala
ᨊᨒᨆᨘᨕ,nalamua’
ᨊᨆᨏᨍᨗ,namancaji
ᨊᨄᨖ,napahang
ᨊᨄᨍᨍᨗᨂᨛᨀᨗ,napajajingeki
ᨊᨄᨀᨈᨍᨂᨗ,napakatajangngi
ᨊᨄᨑᨛᨒᨘᨕᨂᨙ,naparelluangè
ᨊᨄᨑᨛᨒᨘᨕᨂᨗ,naparelluangngi
ᨊᨄᨑᨙᨈᨕᨙ,naparèntaè
ᨊᨄᨚᨕᨉ,napoada
ᨊᨄᨚᨕᨉᨕᨉᨕᨗ,napoada-adai
ᨊᨄᨚᨒᨀᨕᨗ,napolakkai
ᨊᨄ,nappa
ᨊᨄᨘᨈᨛᨄᨛ,naputeppe
ᨊᨑᨙᨀᨚ,narèkko
ᨊᨑᨗᨅᨛᨈᨘᨕᨂᨗ,naribettuangi
ᨊᨑᨗᨆᨀᨘᨕᨊᨊᨑᨚ,narimakuannanaro
ᨊᨑᨗᨄᨈᨛᨈᨘ,naripattentu
ᨊᨑᨗᨈᨅᨕᨗ,naritambai
ᨑᨗᨈᨅᨕᨗᨊᨗ,ritambaini
ᨈᨈᨅᨊᨗ,tattambai
ᨊᨑᨗᨈᨙᨇᨚᨊ,naritèmpona
ᨈᨙᨇᨚᨊ,tèmpona
ᨊᨔᨅ,nasaba’
ᨊᨔᨗ,nasi
ᨊᨔᨘᨑᨚ,nasuro
ᨊᨈᨇᨘᨕᨙ,natampu’è
ᨊᨈᨘᨍᨘ,natuju
ᨊᨕᨘᨀᨗᨕᨗ,nauki’i
ᨊᨕᨘᨒᨙ,naullè
ᨊᨕᨘᨒᨙᨕᨗ,naullei
ᨊᨓᨊᨓ,nawa-nawa
ᨊᨓᨛᨉᨗ,nawedding
ᨏ,nca
ᨊᨛᨊᨗᨕ,nennia
ᨃ,ngka
ᨊᨚᨆᨚᨑᨚ,nomoro’
ᨋ,nra
ᨕᨚᨑᨚᨕᨊᨙ,oroanè
K,K
P,P
ᨄ,pa
ᨄᨅᨒᨘ,pabbalu’
ᨄᨅᨊᨘᨕᨕᨙ,pabbanuaè
ᨄᨅᨊᨘᨓᨕᨙ,pabbanuwaè
ᨄᨌᨛᨆᨙᨊ,paccemmèna
ᨄᨉᨕᨗ,padai
ᨄᨉᨆᨘ,padamu
ᨄᨉᨈᨚᨖ,padatoha
ᨄᨉᨈᨚᨕᨗ,padatoi
ᨄᨉᨕᨗ,paddai
ᨄᨉᨑᨛ,paddare’
ᨄᨉᨗᨔᨛᨂᨛ,paddissengeng
ᨄᨉᨚᨕᨂᨛ,paddoangeng
ᨄᨁᨒᨘ,paggalung
ᨄᨖᨂᨗ,pahangngi
ᨄᨕᨗᨆᨛ,paimeng
ᨄᨍᨒ,pajjala
ᨄᨀᨌᨄᨘᨑᨛᨂᨙ,pakacappurengngè
ᨄᨀᨙ,pakè
ᨄᨀᨙᨕᨈ,pakèatta
ᨄᨀᨙᨓᨙ,pakèwè
ᨄᨀᨊᨛᨔ,pakkannessa
ᨄᨀᨈᨍᨂᨗ,pakatajangngi
ᨄᨀᨛᨉ,pakkeddang
ᨄᨀᨛᨉᨂᨙ,pakkeddangè
ᨄᨀᨙᨁᨘᨊ,pakkèguna
ᨄᨀᨙᨁᨘᨊᨕᨙ,pakkègunaè
ᨄᨀᨙᨁᨘᨊᨕᨗ,pakkègunai
ᨄᨀᨗᨈ,pakkita
ᨄᨀᨘᨒᨙ,pakkullèng
ᨄᨀᨘᨈᨊ,pakkutana
ᨄᨀᨘᨈᨊᨕᨙ,pakkutanaè
ᨄᨒᨙᨒᨙᨕᨗ,palèlèi
ᨄᨒᨛᨔᨄᨊ,palesapana
ᨄᨆᨑᨙᨈᨈ,pamarèntata
ᨄᨆᨈᨙ,pamattè'
ᨄᨏᨕᨗᨈᨊ,pancaitana
ᨄᨏᨍᨗᨕᨙ,pancajiè
ᨑᨗᨄᨏᨍᨗᨊ,pancajina
ᨄᨂᨑᨘᨊ,pangaruna
ᨄᨂᨙᨑᨘ,pangèrru’
ᨄᨂᨙᨑᨘᨊ,pangèruna
ᨄᨖᨗᨕᨊ,panghiana’
ᨄᨊᨛᨔᨕᨗ,pannessai
ᨄᨊᨛᨔᨈᨚᨕᨗ,pannessatoi
ᨄᨄᨉ,pappada
ᨄᨄᨉᨕᨗ,pappadai
ᨄᨄᨖᨈ,pappahatta’
ᨄᨄᨀᨈᨍᨊ,pappakatajanna
ᨄᨄᨂᨍ,pappangngaja’
ᨄᨄᨔ,pappasa’
